Location,Lat,Long
P106,1.355213,103.7684
P11,1.388806,103.852418
P110,1.359868,103.965681
P112,1.294520912,103.8540216
P113,1.289516698,103.8589172
P114,1.289872008,103.8564966
P115,1.291533235,103.8592673
P116,1.290955923,103.8545342
P117,1.291844074,103.8553433
